A_ROWS,CUDA-DENSE,CUDA-SPARSE,CUBLAS-DENSE,CUSPARSE-SPARSE
1000,0.00344305,0.00024119,0.00417303,0.00041658
1500,0.04058821,0.00145154,0.02305746,0.00983023
2000,0.0306184,0.05117174,0.06697243,0.04953013
2500,0.00083076,0.00134417,0.00060303,0.00085507
3000,0.0004098,0.00011645,0.00033788,0.00013501
3500,0.00014567,0.00040211,0.00060291,0.00010403
4000,0.00034324,0.00039633,0.00013013,0.00119165
4500,0.00097737,0.00853292,0.00738993,0.00575284
5000,0.00017754,0.00058332,5.565e-05,5.588e-05
5500,0.00042311,0.00032851,0.00012408,0.00032737
6000,0.00236673,0.00151365,0.00172622,0.00230283
6500,7.396e-05,6.774e-05,3.952e-05,0.00019683
7000,0.0131026,0.01140502,0.0492738,0.06066094
7500,0.02260464,0.00757597,0.02352534,0.0143485
8000,0.00229739,0.06865451,0.04394611,0.0221585
